FECHA_CORTE;CODIGO_ORDEN;ANIO;CONVENIO;TIPO_SUBVENCION;TIPO_CONVOCATORIA;CONVOCATORIA;ESQUEMA_FINANCIERO;ENTIDAD_EJECUTORA_SUBVENCIONADO;TIPO_ENTIDAD ;SEXO;DESCRIPCION;MONEDA;MONTO;IMPORTE_FONDECYT ;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240530;03995-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE FRONTERA;UNIVERSIDAD;MASCULINO;Formulación de una mezcla instantánea incorporando harina de mango, banano, quinua y kiwicha y evaluación de sus cualidades nutricionales, sensoriales y nivel de biodigestibilidad;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;03996-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;ASOCIACION AGRARIA MANOS UNIDAS - ROBLEPAMPA - NUEVA YORK;ORGANIZACIÓN;MASCULINO;OBTENCIÓN DE BIOPOLIMEROS CON ALTA CAPACIDAD ANTIOXIDANTE A PARTIR DE RESIDUOS DEL BENEFICIO DEL CAFÉ( PULPA DE CAFÉ) Y SU EVALUACIÓN EN FRUTAS NATIVAS DE EXPORTACIÓN.;S/.;99678.00;99678.00;LIMA;LIMA;SAN BORJA;150130
20240530;03997-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE TRUJILLO;UNIVERSIDAD;MASCULINO;Agricultura Inteligente - Sensores ópticos de espectroscopia del infrarrojo cercano (NIR) e imagen hiperespectral combinados con inteligencia artificial para el control de la calidad interna de agroberries;S/.;495530.00;495530.00;LIMA;LIMA;SAN BORJA;150130
20240530;03998-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;UNIVERSIDAD;FEMENINO;CEA NanoFlow: Desarrollo de un ensayo de flujo lateral multidetección basado en el uso de nanosensores aptaméricos para la cuantificación del biomarcador tumoral CEA y la detección temprana de cáncer colorrectal;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;03999-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;UNIVERSIDAD;FEMENINO;Obtención y Caracterización de un Material Sustituto del Poliestireno, a Base de Almidón Acetilado/Celulosa/Glicerol Crudo Aislados de Residuos Agroindustriales.;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04000-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;FEMENINO;Desarrollo de nanopartículas de aceite esencial de romero Rosmarinus officinali para mejorar la productividad de paco Piaractus brachypomus en la región de Madre de Dios;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04001-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Biofertilización de plantas de quina (Cinchona sp.) con hongos micorrícicos arbusculares nativos, como mecanismo de adaptación y multiplicación masiva de la especie en condiciones diferentes a su hábitat natural, en la región Amazonas.;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04002-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA;UNIVERSIDAD;MASCULINO;Sistema robótico altamente flexible y de bajo costo para la rehabilitación de infantes de 0 a 6 meses afectados con espina bífida en Perú;S/.;490070.00;490070.00;LIMA;LIMA;SAN BORJA;150130
20240530;04003-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS;UNIVERSIDAD;MASCULINO;Sistema de tratamiento de aguas mieles de café mediante la producción de biogás para el secado de café y biol para crear soluciones hidropónicas, como adaptación al cambio climático y el desarrollo de agricultura sostenible;S/.;99943.00;99943.00;LIMA;LIMA;SAN BORJA;150130
20240530;04004-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA DEL PERU;ENTIDAD DE GOBIERNO;MASCULINO;Meteo-Huascarán: Ecoturismo seguro con monitoreo y pronóstico meteorológico automatizado con machine learning en el Parque Nacional Huascarán;S/.;498540.00;498540.00;LIMA;LIMA;SAN BORJA;150130
20240530;04005-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;UNIVERSIDAD CATOLICA SAN PABLO;UNIVERSIDAD;MASCULINO;PLATAFORMA DE MONITOREO PARA EL MUESTREO NO EXTRACTIVO DE RECURSOS HIDROBIOLÓGICOS MEDIANTE EL DESARROLLO DE UN ROBOT SUBMARINO A MEDIDA CON TÉCNICAS AVANZADAS DE DEEP LEARNING Y COMPUTER VISION. CASO DE APLICACIÓN: CULTIVO DE FONDO DE CONCHA DE ABANICO (Argopecten purpuratus) EN LA BAHÍA DE SECHURA;S/.;350000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04006-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;COMPAÑIA INDUSTRIAL ROMOSA S.A.C.;EMPRESA;MASCULINO;Sistema innovador para el proceso de nueva forma teñido a nivel mundial promoviendo la reactivación de la industria basado en innovación y supervisión de la mitigación del impacto ambiental.;S/.;350000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04007-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;UNIVERSIDAD;MASCULINO;Desarrollo y aplicación de polvo, fibra y extracto colorante-antioxidante obtenidos a partir de cáscara de pitahaya mediante tecnología verde asistida por ultrasonido como insumo sustituto de grasa y colorante natural en salchicha de carne de alpaca.;S/.;377330.00;377330.00;LIMA;LIMA;SAN BORJA;150130
20240530;04008-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Sistema de reconocimiento offline y online de las 30 especies forestales maderables vulnerables ante la tala ilegal, y de mayor importancia económica y ecológica, mediante algoritmos de aprendizaje de máquina y cloud computing como propuesta para mejorar el Plan de Manejo Forestal de las empresas del sector forestal maderero - Caso de estudio: Región Loreto;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04009-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE CULTIVOS TROPICALES;ONG;MASCULINO;Validación de la producción de semilla sintética de clones promisorios de Cacao con fines de establecimiento de plantaciones sostenibles y comerciales;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04010-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Desarrollo de tecnologías para instalación y manejo de plantaciones de Capirona, y valor de uso de madera de manchales en zonas ribereñas inundables temporalmente de la cuenca Amazónica;S/.;499916.00;499916.00;LIMA;LIMA;SAN BORJA;150130
20240530;04011-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;FEMENINO;Desarrollo de un alimento balanceado funcional a base de torta de castaña para reducir costos y mejorar la productividad en el cultivo de paco Piaractus brachypomus en la región de Madre de Dios;S/.;350000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
